Ä£ÐÍ,Ceval-Computer_Network,Ceval-Operating_System,Ceval-Computer_Architecture,Ceval-College_Programming,Ceval-College_Physics,Ceval-College_Chemistry,Ceval-Advanced_Mathematics,Ceval-Probability_And_Statistics,Ceval-Discrete_Mathematics,Ceval-Electrical_Engineer,Ceval-Metrology_Engineer,Ceval-High_School_Mathematics,Ceval-High_School_Physics,Ceval-High_School_Chemistry,Ceval-High_School_Biology,Ceval-Middle_School_Mathematics,Ceval-Middle_School_Biology,Ceval-Middle_School_Physics,Ceval-Middle_School_Chemistry,Ceval-Veterinary_Medicine,Ceval-College_Economics,Ceval-Business_Administration,Ceval-Marxism,Ceval-Mao_Zedong_Thought,Ceval-Education_Science,Ceval-Teacher_Qualification,Ceval-High_School_Politics,Ceval-High_School_Geography,Ceval-Middle_School_Politics,Ceval-Middle_School_Geography,Ceval-Modern_Chinese_History,Ceval-Ideological_And_Moral_Cultivation,Ceval-Logic,Ceval-Law,Ceval-Chinese_Language_And_Literature,Ceval-Art_Studies,Ceval-Professional_Tour_Guide,Ceval-Legal_Professional,Ceval-High_School_Chinese,Ceval-High_School_History,Ceval-Middle_School_History,Ceval-Civil_Servant,Ceval-Sports_Science,Ceval-Plant_Protection,Ceval-Basic_Medicine,Ceval-Clinical_Medicine,Ceval-Urban_And_Rural_Planner,Ceval-Accountant,Ceval-Fire_Engineer,Ceval-Environmental_Impact_Assessment_Engineer,Ceval-Tax_Accountant,Ceval-Physician,Avg
Gemini-2.0-Pro-Exp-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o1-2024-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claude_3.5_Sonnet_20241022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doubao-1.5-pro-32k-250115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step-2-16k-Exp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-4o-20241120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeepSeek-V3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLM-4-Plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistral-Large-Instruct-2411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3-mini-2025-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemini-2.0-Flash-001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama3.1-405B-Instruct-FP8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yi-Lightning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailing-Pro-1120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llama3.1-70B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniMax-Text-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailing-Lite-1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-72B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunyuan-Large-250210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QwQ-32B-Preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPT-4o-mini-20240718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o1-mini-2024-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERNIE-4.0-Turbo-8K-Latest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLM-Zero-Preview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spark-v4.0-Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yi-1.5-34B-Chat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemma-2-27B-it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen2.5-7B-Instruct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistral-Small-Instruct-2409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InternLM2.5-Chat-7B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
